BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food
52,25000.0,0.53572,1.0,1,25000,0,25000,13393.0,7500.0,Industrial & Storage,1989103.875,0,1,0,0,0,1,0,0,0,0,0
56,25000.0,0.96,1.0,1,25000,0,25000,24000.0,1000.0,Industrial & Storage,287132.5,0,1,0,0,0,1,0,0,0,0,0
89,22622.0,1.0167093979312174,1.0,1,22622,0,22622,23000.0,0.0,Other,774075.6875,0,1,0,0,0,0,0,0,1,0,0
99,9181.333333333334,0.811973569561429,1.0,3,27544,0,27544,22365.0,3744.0,Office,1031667.5,1,0,0,0,0,0,0,1,0,0,0
27,6773.571428571428,0.5459031951913951,1.0,7,47415,0,47415,25884.0,7000.0,Office,1478979.25,1,0,0,0,0,0,0,1,0,0,0
55,7653.333333333333,1.0,1.0,3,22960,0,22960,22960.0,0.0,Other,2266983.0,0,0,1,0,0,0,0,0,1,0,0
18,44739.0,1.0,1.0,1,44739,0,44739,44739.0,0.0,Retail & Food,14585813.0,0,1,0,0,0,0,0,0,0,0,1
68,22778.0,0.9304592150320484,1.0,1,22778,0,22778,21194.0,12923.0,Mixed Use,2470566.0,0,0,1,0,0,0,1,0,0,0,0
60,10781.0,0.9763472776180318,1.0,2,21562,0,21562,21052.0,400.0,Public / Institutional,866806.0,0,0,1,0,0,0,0,0,0,1,0
57,25753.0,1.0,1.0,1,25753,0,25753,25753.0,0.0,Other,1378130.25,0,0,1,0,0,0,0,0,1,0,0
88,23760.0,1.0,1.0,3,71280,0,71280,71280.0,0.0,Other,22767828.0,0,0,1,0,0,0,0,0,1,0,0
91,12765.666666666666,1.0,1.0,3,38297,0,38297,38297.0,0.0,Education,1845150.625,0,0,1,0,0,0,0,0,0,0,0
7,63508.94736842105,0.2646630810412126,1.0,19,1206670,201857,1004813,319361.0,181047.0,Mixed Use,27684480.0,1,0,0,0,0,0,1,0,0,0,0
48,24200.0,1.0,1.0,1,24200,0,24200,24200.0,0.0,Public / Institutional,826488.6875,0,1,0,0,0,0,0,0,0,1,0
22,22203.333333333332,1.0016514036931392,1.0,3,66610,0,66610,66720.0,0.0,Industrial & Storage,640377.0,0,1,0,0,0,1,0,0,0,0,0
66,36000.0,0.9444444444444444,1.0,1,36000,0,36000,34000.0,1400.0,Other,3646053.75,1,0,0,0,0,0,0,0,1,0,0
78,11611.0,0.6461975712686245,1.0,2,23222,0,23222,15006.0,0.0,Education,1219863.125,0,0,1,0,0,0,0,0,0,0,0
92,12238.0,0.30646347442392546,1.0,2,24476,0,24476,7501.0,5872.0,Mixed Use,2662054.25,0,1,0,0,0,0,1,0,0,0,0
106,12375.0,0.7773737373737374,0.0,2,24750,0,24750,19240.0,2050.0,Retail & Food,782343.8125,0,0,1,0,0,0,0,0,0,0,1
112,20000.0,0.81305,1.0,3,60000,0,60000,48783.0,0.0,Education,3625407.5,0,1,0,0,0,0,0,0,0,0,0
62,23280.0,1.0,1.0,2,46560,0,46560,46560.0,0.0,Other,690557.6875,1,0,0,0,0,0,0,0,1,0,0
36,10136.0,0.8221520652459879,1.0,3,30408,0,30408,25000.0,5408.0,Other,1440554.25,1,0,0,0,0,0,0,0,1,0,0
96,10036.333333333334,0.9432395629213857,1.0,3,30109,0,30109,28400.0,7200.0,Office,1465795.75,1,0,0,0,0,0,0,1,0,0,0
52,19964.5,1.0,1.0,2,39929,0,39929,39929.0,0.0,Education,1813718.0,0,1,0,0,0,0,0,0,0,0,0
56,12740.5,1.0,1.0,2,25481,0,25481,25481.0,0.0,Office,917100.3125,0,0,1,0,0,0,0,1,0,0,0
104,13894.0,1.173528141643875,1.0,2,27788,0,27788,32610.0,4874.0,Office,2119806.25,1,0,0,0,0,0,0,1,0,0,0
26,10426.0,1.0,1.0,4,41704,8584,33120,41704.0,0.0,Hospitality,1943899.25,0,1,0,0,1,0,0,0,0,0,0
75,11162.0,0.9406916323239563,1.0,2,22324,0,22324,21000.0,0.0,Industrial & Storage,588856.125,0,0,1,0,0,1,0,0,0,0,0
70,15680.0,1.0204081632653061,1.0,2,31360,0,31360,32000.0,0.0,Other,1725108.25,1,0,0,0,0,0,0,0,1,0,0
69,30496.0,0.4703567681007345,1.0,1,30496,0,30496,14344.0,10272.0,Mixed Use,1992158.25,1,0,0,0,0,0,1,0,0,0,0
94,9200.0,0.4773550724637681,1.0,3,27600,0,27600,13175.0,9175.0,Office,1072151.375,1,0,0,0,0,0,0,1,0,0,0
45,26450.5,1.0,1.0,2,52901,0,52901,52901.0,0.0,Education,2240342.0,0,1,0,0,0,0,0,0,0,0,0
19,10562.0,0.8182478066022849,0.0,3,31686,7358,24328,25927.0,6750.0,Office,2305643.5,1,0,0,0,0,0,0,1,0,0,0
35,8898.0,0.9333183486925901,1.0,3,26694,6034,20660,24914.0,4720.0,Office,720170.6875,1,0,0,0,0,0,0,1,0,0,0
44,29400.0,0.8503401360544217,1.0,1,29400,0,29400,25000.0,0.0,Industrial & Storage,227509.5,1,0,0,0,0,1,0,0,0,0,0
24,7484.0,1.0,1.0,3,22452,0,22452,22452.0,0.0,Hospitality,1244150.0,0,1,0,0,1,0,0,0,0,0,0
104,12883.5,0.6766018550859627,1.0,2,25767,0,25767,17434.0,0.0,Other,1581352.75,1,0,0,0,0,0,0,0,1,0,0
63,8477.5,0.4301091123562371,1.0,4,33910,0,33910,14585.0,14462.0,Retail & Food,1822834.25,1,0,0,0,0,0,0,0,0,0,1
89,39200.5,0.7959082154564355,1.0,2,78401,0,78401,62400.0,9940.0,Public / Institutional,2462408.25,0,0,1,0,0,0,0,0,0,1,0
37,39358.0,0.5243533716144113,1.0,2,78716,0,78716,41275.0,29399.0,Industrial & Storage,4103800.75,1,0,0,0,0,1,0,0,0,0,0
106,16650.0,0.9231231231231232,1.0,2,33300,0,33300,30740.0,0.0,Education,1594733.625,0,0,1,0,0,0,0,0,0,0,0
59,28808.0,1.082129963898917,1.0,1,28808,0,28808,31174.0,0.0,Retail & Food,9232576.0,1,0,0,0,0,0,0,0,0,0,1
59,27966.0,0.74955302867768,1.0,1,27966,7004,20962,20962.0,7004.0,Office,1100499.75,1,0,0,0,0,0,0,1,0,0,0
66,26226.0,0.984824220239457,1.0,1,26226,0,26226,25828.0,0.0,Retail & Food,7588060.5,1,0,0,0,0,0,0,0,0,0,1
40,17474.0,0.5489012246766625,1.0,2,34948,15755,19193,19183.0,19183.0,Mixed Use,1159807.125,1,0,0,0,0,0,1,0,0,0,0
18,12546.333333333334,0.5428943383192965,1.0,3,37639,9999,27640,20434.0,7557.0,Office,6197824.5,1,0,0,0,0,0,0,1,0,0,0
116,5710.0,0.8056042031523643,1.0,4,22840,0,22840,18400.0,4440.0,Office,881386.1875,1,0,0,0,0,0,0,1,0,0,0
116,21420.0,0.4864612511671335,1.0,1,21420,0,21420,10420.0,5000.0,Other,810636.875,1,0,0,0,0,0,0,0,1,0,0
116,20880.0,1.0,1.0,1,20880,0,20880,20880.0,0.0,Office,683274.0,1,0,0,0,0,0,0,1,0,0,0
50,8666.666666666666,0.5,1.0,3,26000,0,26000,13000.0,13000.0,Mixed Use,1063035.875,1,0,0,0,0,0,1,0,0,0,0
116,12891.666666666666,0.31286360698125404,1.0,3,38675,0,38675,12100.0,4281.0,Office,1938776.75,1,0,0,0,0,0,0,1,0,0,0
87,12487.75,0.6414085804088007,1.0,4,49951,0,49951,32039.0,24035.0,Office,5134446.0,0,1,0,0,0,0,0,1,0,0,0
6,12940.0,1.0,1.0,2,25880,0,25880,25880.0,0.0,Office,1941728.75,1,0,0,0,0,0,0,1,0,0,0
89,13671.0,0.7826298978372711,1.0,3,41013,0,41013,32098.0,2310.0,Public / Institutional,1080821.0,0,1,0,0,0,0,0,0,0,1,0
12,10537.5,0.8576512455516014,1.0,2,21075,0,21075,18075.0,3000.0,Other,1581036.75,0,1,0,0,0,0,0,0,1,0,0
66,15495.0,1.3751102506184791,1.0,3,46485,0,46485,63922.0,0.0,Public / Institutional,1544995.75,0,1,0,0,0,0,0,0,0,1,0
51,14224.0,0.7165354330708661,1.0,4,56896,0,56896,40768.0,16128.0,Office,1402048.5,1,0,0,0,0,0,0,1,0,0,0
38,13750.0,1.0,1.0,2,27500,0,27500,27500.0,0.0,Public / Institutional,577123.125,0,1,0,0,0,0,0,0,0,1,0
86,18315.0,0.6006006006006006,1.0,2,36630,0,36630,22000.0,11000.0,Office,541943.3125,1,0,0,0,0,0,0,1,0,0,0
116,8943.333333333334,0.6275810659709281,0.0,3,26830,0,26830,16838.0,10000.0,Office,2099386.75,0,1,0,0,0,0,0,1,0,0,0
110,8384.0,1.0,1.0,5,41920,0,41920,41920.0,0.0,Office,1103594.75,1,0,0,0,0,0,0,1,0,0,0
111,7375.8,1.1930909189511647,1.0,5,36879,0,36879,44000.0,0.0,Office,1537570.25,1,0,0,0,0,0,0,1,0,0,0
112,4970.0,1.0,1.0,6,29820,0,29820,29820.0,0.0,Other,1601955.625,1,0,0,0,0,0,0,0,1,0,0
111,16820.0,0.8121878715814507,0.0,2,33640,0,33640,27322.0,0.0,Office,1078535.75,1,0,0,0,0,0,0,1,0,0,0
